,nLabor,nLib,nThird,Winner
876,0,145,6,Coalition
877,0,145,6,Coalition
878,0,145,6,Coalition
879,0,145,6,Coalition
880,0,145,6,Coalition
881,0,145,6,Coalition
882,0,145,6,Coalition
883,0,145,6,Coalition
884,0,145,6,Coalition
885,0,145,6,Coalition
886,0,145,6,Coalition
887,0,145,6,Coalition
888,0,145,6,Coalition
889,0,145,6,Coalition
890,0,145,6,Coalition
891,0,145,6,Coalition
892,0,145,6,Coalition
893,0,145,6,Coalition
894,0,145,6,Coalition
895,0,145,6,Coalition
896,0,145,6,Coalition
897,0,145,6,Coalition
898,0,145,6,Coalition
899,0,145,6,Coalition
900,0,145,6,Coalition
901,0,145,6,Coalition
902,0,145,6,Coalition
903,0,145,6,Coalition
904,0,145,6,Coalition
905,0,145,6,Coalition
906,0,145,6,Coalition
907,0,145,6,Coalition
908,0,145,6,Coalition
909,0,145,6,Coalition
910,0,145,6,Coalition
911,0,145,6,Coalition
912,0,145,6,Coalition
913,0,145,6,Coalition
914,0,145,6,Coalition
915,0,145,6,Coalition
916,0,145,6,Coalition
917,0,145,6,Coalition
918,0,145,6,Coalition
919,0,145,6,Coalition
920,0,145,6,Coalition
921,0,145,6,Coalition
922,0,145,6,Coalition
923,0,145,6,Coalition
924,0,145,6,Coalition
925,0,145,6,Coalition
926,0,145,6,Coalition
927,0,145,6,Coalition
928,0,145,6,Coalition
929,0,145,6,Coalition
930,0,145,6,Coalition
931,0,145,6,Coalition
932,0,145,6,Coalition
933,0,145,6,Coalition
934,0,145,6,Coalition
935,0,145,6,Coalition
936,0,145,6,Coalition
937,0,145,6,Coalition
938,0,145,6,Coalition
939,0,145,6,Coalition
940,0,145,6,Coalition
941,0,145,6,Coalition
942,0,145,6,Coalition
943,0,145,6,Coalition
944,0,145,6,Coalition
945,0,145,6,Coalition
946,0,145,6,Coalition
947,0,145,6,Coalition
948,0,145,6,Coalition
949,0,145,6,Coalition
950,0,145,6,Coalition
951,0,145,6,Coalition
952,0,145,6,Coalition
953,0,145,6,Coalition
954,0,145,6,Coalition
955,0,145,6,Coalition
956,0,145,6,Coalition
957,0,145,6,Coalition
958,0,145,6,Coalition
959,0,145,6,Coalition
960,0,145,6,Coalition
961,0,145,6,Coalition
962,0,145,6,Coalition
963,0,145,6,Coalition
964,0,145,6,Coalition
965,0,145,6,Coalition
966,0,145,6,Coalition
967,0,145,6,Coalition
968,0,145,6,Coalition
969,0,145,6,Coalition
970,0,145,6,Coalition
971,0,145,6,Coalition
972,0,145,6,Coalition
973,0,145,6,Coalition
974,0,145,6,Coalition
975,0,145,6,Coalition
976,0,145,6,Coalition
977,0,145,6,Coalition
978,0,145,6,Coalition
979,0,145,6,Coalition
980,0,145,6,Coalition
981,0,145,6,Coalition
982,0,145,6,Coalition
983,0,145,6,Coalition
984,0,145,6,Coalition
985,0,145,6,Coalition
986,0,145,6,Coalition
987,0,145,6,Coalition
988,0,145,6,Coalition
989,0,145,6,Coalition
990,0,145,6,Coalition
991,0,145,6,Coalition
992,0,145,6,Coalition
993,0,145,6,Coalition
994,0,145,6,Coalition
995,0,145,6,Coalition
996,0,145,6,Coalition
997,0,145,6,Coalition
998,0,145,6,Coalition
999,0,145,6,Coalition
1000,0,145,6,Coalition
1001,0,145,6,Coalition
1002,0,145,6,Coalition
1003,0,145,6,Coalition
1004,0,145,6,Coalition
1005,0,145,6,Coalition
1006,0,145,6,Coalition
1007,0,145,6,Coalition
1008,0,145,6,Coalition
1009,0,145,6,Coalition
1010,0,145,6,Coalition
1011,0,145,6,Coalition
1012,0,145,6,Coalition
1013,0,145,6,Coalition
1014,0,145,6,Coalition
1015,0,145,6,Coalition
1016,0,145,6,Coalition
1017,0,145,6,Coalition
1018,0,145,6,Coalition
1019,0,145,6,Coalition
1020,0,145,6,Coalition
1021,0,145,6,Coalition
1022,0,145,6,Coalition
1023,0,145,6,Coalition
1024,0,145,6,Coalition
1025,0,145,6,Coalition
1026,0,145,6,Coalition
1027,0,145,6,Coalition
1028,0,145,6,Coalition
1029,0,145,6,Coalition
1030,0,145,6,Coalition
1031,0,145,6,Coalition
1032,0,145,6,Coalition
